Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans,ROIC %,FCF Margin %,Gross Margin %
21/02/2026,AMZN,29.344973,22.68,0.7728751360582271,11.57%,65.10634414486933,,,
21/02/2026,ASML,50.003063,33.452385,0.6690067166485382,13.06%,175.06896871434577,,,
21/02/2026,NVDA,46.98515,24.464714,0.5206903457794644,28.32%,2458.869085296635,,,
21/02/2026,GOOG,29.157406,23.520658,0.8066786873976375,13.92%,79.81732348781638,,,
21/02/2026,BKNG,26.526058,13.031904,0.4912868696886662,8.06%,22.159517526311255,,,
21/02/2026,NEM.DE,38.19209,27.48392,0.7196233565641472,,44.57134993458019,,,
21/02/2026,CRM,24.688,14.117185,0.5718237605314322,9.70%,19.291927557392945,,,
21/02/2026,INTU,26.100822,14.388987,0.551284821604469,12.92%,31.84100092700485,,,
21/02/2026,MA,31.845732,23.27283,0.7307990282653888,12.12%,53.62377826584337,,,
21/02/2026,MSFT,24.873512,21.073668,0.8472333138963247,16.43%,75.55109973476492,,,
21/02/2026,SPGI,28.49693,18.916254,0.6637997145657444,7.47%,41.31397010301534,,,
21/02/2026,V,30.107882,22.087536,0.7336130784623109,10.51%,,,,
