Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans,ROIC %,FCF Margin %,Gross Margin %
06/12/2025,AMZN,32.465347,37.32195,1.149593441893598,11.46%,58.533804972347255,,,
06/12/2025,ASML,38.905518,41.17865,1.0584269820029126,11.45%,123.12820840650195,,,
06/12/2025,NVDA,45.263027,44.274273,0.978155371712104,30.32%,2248.5604597162655,,,
06/12/2025,GOOG,31.733006,35.98771,1.134078189756117,12.84%,74.9771766014246,,,
06/12/2025,BKNG,33.784306,24.7655,0.7330474688454456,8.76%,30.55586504263428,,,
06/12/2025,NEM.DE,52.62712,47.284264,0.8984771349828757,,55.952403057927256,,,
06/12/2025,CRM,34.835564,23.4115,0.6720574410679845,9.62%,22.636459967879013,,,
06/12/2025,INTU,46.297596,30.302746,0.6545209388409714,12.78%,63.72444498774321,,,
06/12/2025,MA,34.83525,33.30403,0.9560439497348231,12.26%,49.2228745354577,,,
06/12/2025,MSFT,34.36415,32.318394,0.9404683078149757,15.29%,88.87078216952827,,,
06/12/2025,SPGI,36.22965,29.656157,0.8185604056346114,7.49%,46.49388836048181,,,
06/12/2025,V,32.47451,26.164297,0.8056871989754426,,34.661338942503534,,,
